nome,cpf,idade,data,endereco,estado,pais
Sr. Diego Vargas,532.179.684-09,43,27/03/1981,"Rua Anthony Gabriel Nascimento, 763
Vila Nova
58253-280 Teixeira / PE","('AM', 'Amazonas')",Brasil
Valentina Caldeira,910.235.647-34,43,06/07/1981,"Morro Mendonça, 416
Canaa
10050293 Nunes / TO","('MG', 'Minas Gerais')",Brasil
Dr. Pedro Leão,046.872.195-94,49,13/05/1975,"Pátio de Ramos, 230
Vila São Geraldo
39449-398 Pimenta / RJ","('DF', 'Distrito Federal')",Brasil
Dr. Lorenzo Brito,980.276.315-21,51,31/12/1972,"Vereda Vitor Gabriel Guerra, 2
Barão Homem De Melo 2ª Seção
05627-041 Casa Grande Grande / RJ","('SP', 'São Paulo')",Brasil
Alexia Barros,960.135.478-66,37,05/12/1986,"Via Ísis Moura
Comiteco
72735329 Montenegro / RR","('RN', 'Rio Grande do Norte')",Brasil
Dra. Maria Laura Nunes,680.421.953-89,50,15/05/1974,"Feira Lavínia Alves, 9
Vila Primeiro De Maio
98122553 Vargas / AM","('RN', 'Rio Grande do Norte')",Brasil
Ana Julia Albuquerque,905.328.617-95,27,12/07/1997,"Morro Moreira, 43
Nossa Senhora Aparecida
86223-454 Azevedo / PR","('SC', 'Santa Catarina')",Brasil
Lívia Almeida,246.903.571-61,19,28/12/2004,"Lagoa de Cirino, 71
Vila Suzana Segunda Seção
89456-269 Castro de Minas / PB","('SC', 'Santa Catarina')",Brasil
Maria Cecília Novais,481.203.765-44,48,05/12/1975,"Morro Davi Luiz Castro, 666
Satelite
91697-591 Cirino / SP","('MS', 'Mato Grosso do Sul')",Brasil
Srta. Luiza Machado,367.589.012-03,58,20/12/1965,"Campo Aragão, 8
Sport Club
91124-458 Mendonça / RN","('MS', 'Mato Grosso do Sul')",Brasil
João Vitor Cassiano,075.892.431-32,33,29/03/1991,"Travessa Arthur Miguel Moraes
Serra Verde
04188-402 Sampaio do Galho / PI","('PB', 'Paraíba')",Brasil
Lorenzo Abreu,876.510.439-01,27,28/07/1997,"Travessa de Rezende, 517
Vila Paraíso
70978-123 Alves / BA","('AM', 'Amazonas')",Brasil
Maysa Martins,386.492.107-40,32,05/09/1992,"Largo de Marques, 1
São Cristóvão
18050-094 Gomes / GO","('MG', 'Minas Gerais')",Brasil
Pedro Machado,325.418.906-05,34,30/07/1990,"Quadra de Marques, 56
Heliopolis
95804-168 da Paz das Flores / AP","('PA', 'Pará')",Brasil
Mariane Azevedo,715.034.289-23,36,24/05/1988,"Trecho de Araújo, 23
Mariano De Abreu
50847-681 Peixoto / RS","('SP', 'São Paulo')",Brasil
Sra. Elisa Mendonça,461.829.705-02,37,21/03/1987,"Residencial Daniel Abreu, 120
Flavio Marques Lisboa
40578-742 Teixeira / RR","('PE', 'Pernambuco')",Brasil
Laís Costela,931.420.865-60,24,04/05/2000,"Ladeira Andrade, 62
Vila Aeroporto Jaraguá
98290-845 Pacheco / SC","('AP', 'Amapá')",Brasil
Noah Garcia,749.860.231-87,39,20/10/1985,"Residencial Liam Mendonça, 65
Cidade Jardim
25969970 Jesus do Norte / CE","('SC', 'Santa Catarina')",Brasil
Alice Caldeira,148.025.367-71,23,11/02/2001,"Trevo de Pimenta, 710
Jardinópolis
03524-302 Rocha / AC","('RO', 'Rondônia')",Brasil
Ian Moura,742.156.908-11,54,05/04/1970,"Rodovia Pires, 44
Brasil Industrial
30924-406 Monteiro / AP","('CE', 'Ceará')",Brasil
Olivia Silveira,736.918.450-10,24,29/06/2000,"Favela Marques, 5
Vila Havaí
19829-699 Lima do Amparo / RN","('PB', 'Paraíba')",Brasil
Ágatha Moraes,213.487.059-14,34,08/08/1990,"Lagoa Silveira, 20
Candelaria
08602-515 Fernandes do Norte / MT","('AL', 'Alagoas')",Brasil
Sr. Benjamin Martins,693.804.517-84,22,31/07/2002,"Pátio de Lopes, 55
Salgado Filho
25589710 Farias Grande / AP","('BA', 'Bahia')",Brasil
Marcos Vinicius Freitas,408.357.912-97,53,25/10/1971,"Residencial Rezende, 7
Havaí
69584466 da Luz / AC","('MT', 'Mato Grosso')",Brasil
Pietra Guerra,102.634.759-99,30,29/11/1993,"Vila de Correia, 91
Vila Maria
81900-979 Cavalcanti / TO","('PB', 'Paraíba')",Brasil
Antony Sampaio,051.983.674-00,28,07/05/1996,"Lagoa Nascimento
Esperança
96210628 Albuquerque / RS","('MT', 'Mato Grosso')",Brasil
Gael Henrique Barros,267.819.503-12,56,11/09/1968,"Largo da Rocha, 45
União
45965-837 Costa do Sul / PE","('TO', 'Tocantins')",Brasil
Sr. Francisco Cardoso,945.831.760-66,19,29/01/2005,"Distrito Bianca Mendes, 378
Manacas
86661-356 Novaes / ES","('MS', 'Mato Grosso do Sul')",Brasil
Maria Campos,780.154.263-08,33,22/02/1991,"Praia de Rezende, 37
Vila Barragem Santa Lúcia
70779-273 da Cunha / PI","('PI', 'Piauí')",Brasil
Marcela Nogueira,172.904.386-04,59,08/04/1965,"Largo de Souza, 97
Belmonte
18842147 Caldeira do Sul / MS","('AC', 'Acre')",Brasil
Zoe Rodrigues,524.103.987-23,31,28/04/1993,"Condomínio Fernandes, 16
Zilah Sposito
84684-852 Santos da Prata / MT","('SP', 'São Paulo')",Brasil
Gabriel Ribeiro,279.135.640-16,36,23/01/1988,"Pátio Pastor, 47
Engenho Nogueira
88369-718 Sá das Flores / MT","('TO', 'Tocantins')",Brasil
Dr. Josué da Costa,431.782.950-97,18,07/10/2006,"Chácara de Oliveira, 91
Nossa Senhora Aparecida
89217-514 Borges / GO","('MS', 'Mato Grosso do Sul')",Brasil
Laura da Mata,046.127.958-49,41,20/03/1983,"Jardim da Cunha
São João
02019126 Oliveira da Praia / PI","('ES', 'Espírito Santo')",Brasil
Rodrigo Guerra,962.153.708-86,45,10/06/1979,"Quadra de Carvalho, 4
Mariquinhas
67620544 Siqueira / TO","('RO', 'Rondônia')",Brasil
Ana Liz Pacheco,489.267.510-58,41,22/04/1983,"Praia Davi Lucas Fonseca, 405
Brasil Industrial
05429953 Carvalho / MG","('PE', 'Pernambuco')",Brasil
Dra. Sabrina da Mata,614.359.780-48,21,20/11/2002,"Praia Eloá da Rocha, 60
Vista Do Sol
23286-258 Aragão da Mata / AL","('PE', 'Pernambuco')",Brasil
Samuel Pereira,697.532.804-83,28,29/12/1995,"Lagoa de Rocha
Conjunto São Francisco De Assis
11978673 Cassiano Paulista / RN","('PB', 'Paraíba')",Brasil
Dr. Luiz Felipe Cassiano,432.910.568-33,23,06/12/2000,"Estação Alana Rocha, 37
Parque São José
47868-686 Martins das Flores / SP","('RO', 'Rondônia')",Brasil
Isabel Brito,942.051.367-06,27,28/01/1997,"Via de Teixeira
Vila São Dimas
48633727 Viana / PA","('CE', 'Ceará')",Brasil
Maria Liz Souza,960.213.487-96,57,31/01/1967,"Praça Novaes, 2
Santo Agostinho
47434-626 Andrade / ES","('RR', 'Roraima')",Brasil
Cauê Barbosa,750.439.162-06,20,10/08/2004,"Alameda Novais, 303
Vila Nova Dos Milionarios
85889925 Rios / RR","('MA', 'Maranhão')",Brasil
Luana Alves,541.963.807-00,20,21/03/2004,"Estrada de Cavalcante, 61
Lajedo
03659-972 Martins Paulista / PA","('MA', 'Maranhão')",Brasil
Arthur Miguel Rocha,732.856.904-29,60,15/04/1964,"Aeroporto da Cruz, 40
Vila Rica
57201-474 Costela dos Dourados / CE","('PR', 'Paraná')",Brasil
Alexandre Aparecida,481.593.762-19,27,30/05/1997,"Colônia Maria Flor Alves, 37
Ermelinda
86269862 Vieira / AP","('DF', 'Distrito Federal')",Brasil
Ana Júlia Novais,542.097.683-83,52,18/09/1972,"Trecho de Garcia
Varzea Da Palma
77253077 Monteiro / AL","('PA', 'Pará')",Brasil
Gael Henrique Costela,753.196.842-82,36,25/08/1988,"Esplanada Marcela Costela, 42
Aparecida
85176249 Câmara do Campo / GO","('SP', 'São Paulo')",Brasil
Ana Laura Mendonça,187.560.492-85,43,15/02/1981,"Ladeira de Pastor, 98
São Marcos
82552966 Silva do Oeste / SP","('CE', 'Ceará')",Brasil
Sra. Maria Luísa Câmara,269.517.048-30,51,24/06/1973,"Morro de Pimenta, 19
Vila Trinta E Um De Março
30457621 Mendonça de Campos / GO","('AL', 'Alagoas')",Brasil
Arthur Miguel Moreira,217.950.438-14,25,18/10/1999,"Rua Maria Helena Costa, 450
Concórdia
88911-180 da Mota / RJ","('SE', 'Sergipe')",Brasil
Isabelly da Mota,791.035.864-48,55,10/10/1969,"Estação Ísis Lopes, 62
Floresta
45122-769 Cavalcante de Pimenta / SP","('PB', 'Paraíba')",Brasil
Helena da Cruz,167.345.809-20,41,08/03/1983,"Residencial Laís Siqueira, 761
Ipe
39787125 Câmara das Pedras / MS","('CE', 'Ceará')",Brasil
Fernando Siqueira,352.076.148-35,47,10/01/1977,"Rua Peixoto, 54
Das Industrias I
98238695 da Rosa / RS","('RS', 'Rio Grande do Sul')",Brasil
Arthur Sá,059.632.481-24,32,14/02/1992,"Praia da Paz, 518
Santana Do Cafezal
02087120 Fonseca / PB","('AP', 'Amapá')",Brasil
Bárbara Souza,034.715.896-00,38,13/07/1986,"Fazenda de Sampaio, 69
Mirante
41140536 Monteiro Alegre / PA","('GO', 'Goiás')",Brasil
Benício Nunes,975.234.681-28,26,05/09/1998,"Lago Alves, 69
Sport Club
85131-321 Pacheco / AC","('MS', 'Mato Grosso do Sul')",Brasil
Arthur Pacheco,270.415.938-60,24,24/08/2000,"Vereda de Marques, 888
Conjunto Capitão Eduardo
65467-836 Moraes da Praia / PI","('ES', 'Espírito Santo')",Brasil
Ágatha Dias,507.389.412-04,56,08/07/1968,"Rodovia Josué Monteiro, 247
Laranjeiras
68977-039 Vargas / SE","('RS', 'Rio Grande do Sul')",Brasil
Léo Moraes,068.253.491-98,26,24/03/1998,"Chácara Ana Liz Cunha, 275
São Jorge 3ª Seção
51888-505 Leão do Norte / CE","('AL', 'Alagoas')",Brasil
Vinícius Rodrigues,123.786.940-40,58,03/01/1966,"Loteamento de Abreu, 44
Nossa Senhora Do Rosário
55630006 Jesus da Serra / DF","('AC', 'Acre')",Brasil
Kevin Lima,418.530.297-50,46,06/02/1978,"Avenida de Costa, 349
Vila Pilar
04249799 Dias / ES","('MG', 'Minas Gerais')",Brasil
Luna Rocha,549.728.013-79,49,20/10/1975,"Núcleo Luna Nunes, 259
Camponesa 2ª Seção
58444-439 da Mata da Mata / MG","('RR', 'Roraima')",Brasil
Gustavo Henrique Montenegro,258.974.610-58,28,21/04/1996,"Largo Cunha
Vila Satélite
43367694 Sá / AM","('PA', 'Pará')",Brasil
Cecília Cardoso,613.975.482-82,38,02/01/1986,"Rua de Sampaio, 41
Vila Das Oliveiras
11727-498 Porto das Pedras / GO","('MT', 'Mato Grosso')",Brasil
Paulo Abreu,927.640.135-07,34,11/09/1990,"Sítio de das Neves, 2
Vila Da Ária
40645-520 Santos / GO","('PI', 'Piauí')",Brasil
Larissa Alves,145.827.036-07,33,31/03/1991,"Trevo Davi Miguel Rodrigues, 6
Serra
14209779 Silva / MS","('MS', 'Mato Grosso do Sul')",Brasil
Luiz Henrique Pimenta,018.435.976-75,18,10/12/2005,"Condomínio de Rodrigues, 104
Jardim Guanabara
68958-246 Rezende / PR","('RN', 'Rio Grande do Norte')",Brasil
Ravy Casa Grande,278.630.591-86,23,06/07/2001,"Rua da Cunha, 5
São Salvador
29542-301 Aragão / AL","('SE', 'Sergipe')",Brasil
Vinicius Casa Grande,572.106.894-94,34,04/03/1990,"Sítio Barros, 21
São Jorge 1ª Seção
30178-384 Almeida / AM","('PI', 'Piauí')",Brasil
Isis Freitas,681.092.453-15,27,31/07/1997,"Favela de Oliveira, 12
Lajedo
75699-701 Fonseca / GO","('RR', 'Roraima')",Brasil
Brenda Vasconcelos,481.593.067-84,32,13/03/1992,"Ladeira Costela, 83
Boa União 2ª Seção
50897-429 da Paz / CE","('MT', 'Mato Grosso')",Brasil
Augusto Teixeira,724.680.391-22,58,07/10/1966,"Núcleo Sousa, 14
Oeste
97209-705 Aragão / DF","('CE', 'Ceará')",Brasil
Luana Porto,570.641.398-39,58,26/09/1966,"Recanto Vargas
Teixeira Dias
47823488 Lima / BA","('MA', 'Maranhão')",Brasil
Marina Moreira,284.371.965-82,24,08/08/2000,"Conjunto Liam Moreira, 7
Vila Santa Monica 1ª Seção
40462-325 Costela / SP","('AL', 'Alagoas')",Brasil
Vitor Duarte,850.472.691-67,46,07/02/1978,"Recanto Costa
Maria Goretti
06357969 Cunha da Serra / MG","('MT', 'Mato Grosso')",Brasil
Ryan Albuquerque,532.960.748-56,34,05/05/1990,"Parque de Freitas, 13
Vila Suzana Segunda Seção
97774-268 da Costa das Flores / RS","('AL', 'Alagoas')",Brasil
Maria Vitória Farias,297.140.653-99,26,02/03/1998,"Viela Liz Fonseca, 22
Alípio De Melo
93631-846 Machado / ES","('PR', 'Paraná')",Brasil
Gael Silva,510.982.763-02,52,13/10/1972,"Pátio Yan Martins, 644
Boa União 2ª Seção
57174412 Cardoso / RJ","('AL', 'Alagoas')",Brasil
Srta. Maria Eduarda Rocha,514.837.092-05,59,16/01/1965,"Avenida de Cassiano, 94
Vila Copacabana
33337351 Montenegro / BA","('MS', 'Mato Grosso do Sul')",Brasil
Valentim Monteiro,085.473.691-39,43,04/06/1981,"Estrada Barros, 36
Mala E Cuia
96068-881 Martins / SC","('RO', 'Rondônia')",Brasil
Laura da Cunha,091.736.528-30,36,08/08/1988,"Residencial Lorenzo Lima, 70
Morro Dos Macacos
75441-478 Sales / CE","('PE', 'Pernambuco')",Brasil
Srta. Alana Martins,894.072.613-87,48,07/05/1976,"Largo de Cassiano, 32
Carlos Prates
81356-454 Almeida / PI","('CE', 'Ceará')",Brasil
Luan Albuquerque,290.463.817-22,19,12/11/2005,"Parque Silva, 14
Caiçaras
94436563 Moreira / AL","('RO', 'Rondônia')",Brasil
Levi Peixoto,465.098.237-56,24,15/04/2000,"Feira de Freitas
João Paulo Ii
21585739 Dias / CE","('AM', 'Amazonas')",Brasil
Clarice Caldeira,430.798.562-10,35,11/07/1989,"Esplanada Helena Costela, 59
Dom Silverio
01078329 Andrade do Norte / AM","('PB', 'Paraíba')",Brasil
Benício Ribeiro,834.109.657-93,22,23/09/2002,"Sítio Emilly Novais
Santa Helena
67468867 da Rosa / PE","('RO', 'Rondônia')",Brasil
Pietro da Mota,103.426.785-07,41,09/09/1983,"Esplanada Casa Grande, 84
Vila Santa Monica 1ª Seção
07472833 Garcia / AL","('BA', 'Bahia')",Brasil
Luiz Miguel Moraes,372.491.605-16,18,23/01/2006,"Lago Sousa, 902
Vila Madre Gertrudes 2ª Seção
61059-944 Albuquerque do Oeste / RS","('RN', 'Rio Grande do Norte')",Brasil
Heloisa Fogaça,657.980.421-11,56,30/07/1968,"Loteamento de Martins, 8
Conjunto Bonsucesso
13798-401 Jesus da Praia / MA","('PB', 'Paraíba')",Brasil
Luiz Otávio Silva,963.287.015-86,19,09/11/2005,"Viaduto de Nunes, 38
Pilar
06754-074 Martins / AM","('PE', 'Pernambuco')",Brasil
Sr. Emanuel Sampaio,651.283.904-89,40,01/05/1984,"Chácara Cassiano
Vila Aeroporto
97241829 Farias / PR","('BA', 'Bahia')",Brasil
Sr. Matteo Aparecida,836.295.741-73,58,01/05/1966,"Trecho de Silveira, 54
Vila Maloca
54014078 Cunha / AC","('TO', 'Tocantins')",Brasil
Marina Porto,651.420.387-62,42,16/09/1982,"Recanto Catarina Garcia, 77
Funcionários
95169-596 Sampaio / AC","('SC', 'Santa Catarina')",Brasil
Lucas Nascimento,123.485.976-91,50,24/11/1973,"Favela Luiz Miguel Gomes, 27
Marajó
15259921 Sousa / PB","('MA', 'Maranhão')",Brasil
Ravy Albuquerque,174.036.982-31,23,01/03/2001,"Feira de Aparecida, 1
São Jorge 1ª Seção
06612-422 Pacheco / MT","('RJ', 'Rio de Janeiro')",Brasil
Guilherme Viana,982.146.350-98,36,03/12/1987,"Recanto Aragão
Vila Maria
91452519 Carvalho de Silva / RO","('TO', 'Tocantins')",Brasil
Aylla Silva,875.602.941-11,49,09/02/1975,"Setor Guilherme Barbosa, 61
Comiteco
91303-442 Caldeira de Casa Grande / GO","('MG', 'Minas Gerais')",Brasil
Henry Pastor,951.246.703-80,32,31/10/1992,"Vila Beatriz Brito, 629
Colégio Batista
55443-050 Alves / RO","('AP', 'Amapá')",Brasil
Laura Costela,593.427.681-64,40,18/01/1984,"Parque de Monteiro, 80
Minas Caixa
60315451 Albuquerque do Galho / RN","('DF', 'Distrito Federal')",Brasil
Dr. Josué Caldeira,621.398.745-28,35,26/09/1989,"Trecho Luiz Felipe Ramos, 254
Engenho Nogueira
65791862 Fogaça do Amparo / RJ","('RN', 'Rio Grande do Norte')",Brasil
Vinícius Borges,274.563.819-09,19,18/12/2004,"Lago Machado, 49
Vila Canto Do Sabiá
48059751 Montenegro do Amparo / PE","('AC', 'Acre')",Brasil
Letícia Cavalcante,938.021.567-30,36,09/05/1988,"Recanto Rodrigues
Barão Homem De Melo 3ª Seção
34640041 Viana de da Paz / TO","('RO', 'Rondônia')",Brasil
Dr. Leonardo da Rosa,496.352.018-42,59,03/01/1965,"Viaduto Melissa Sampaio, 857
Taquaril
00664-445 Vieira de Macedo / PB","('AC', 'Acre')",Brasil
Caio da Conceição,465.871.203-26,24,20/04/2000,"Loteamento Alícia Brito, 18
Nazare
51758-696 Silva / MG","('MS', 'Mato Grosso do Sul')",Brasil
Ana Liz da Mata,948.305.612-89,21,22/04/2003,"Núcleo de Casa Grande, 16
Vila Rica
04107159 Jesus / TO","('PR', 'Paraná')",Brasil
Arthur Machado,104.692.875-94,39,04/09/1985,"Lagoa Lunna da Rocha
São Gonçalo
49970893 Ramos / RJ","('BA', 'Bahia')",Brasil
Calebe Rezende,360.194.785-48,36,30/05/1988,"Sítio Aylla da Cunha, 30
Conjunto Minas Caixa
66113-420 Guerra / PE","('AC', 'Acre')",Brasil
Srta. Laura Marques,379.514.802-23,58,12/04/1966,"Rua Matteo Garcia, 75
Nazare
83123-641 Costela da Serra / RN","('SP', 'São Paulo')",Brasil
Srta. Júlia Melo,741.825.093-23,27,01/02/1997,"Distrito Gustavo da Cunha, 12
Camponesa 1ª Seção
33253247 Alves / MS","('RO', 'Rondônia')",Brasil
Otávio Brito,458.730.692-47,47,19/12/1976,"Área Paulo da Mota, 4
Barro Preto
42560586 Guerra da Praia / BA","('RJ', 'Rio de Janeiro')",Brasil
Sra. Ayla Barros,051.378.492-60,27,06/08/1997,"Conjunto Gomes, 29
Itatiaia
72112708 Souza de Jesus / DF","('MT', 'Mato Grosso')",Brasil
Fernanda Pires,768.534.021-62,32,10/08/1992,"Viela Moreira, 38
Vila São João Batista
86773-696 Sá do Oeste / AP","('RR', 'Roraima')",Brasil
Srta. Luiza Barros,492.083.516-70,23,09/10/2001,"Via Aparecida, 7
Califórnia
20558121 Gomes / RO","('RR', 'Roraima')",Brasil
Liam da Rosa,134.682.597-19,25,27/08/1999,"Loteamento das Neves, 228
Vila Piratininga
95617-489 da Mata do Oeste / SP","('MT', 'Mato Grosso')",Brasil
Ana Cirino,516.738.920-86,25,03/04/1999,"Praça de Rodrigues
Vila Nova Gameleira 3ª Seção
87522-347 Pastor do Amparo / AM","('RN', 'Rio Grande do Norte')",Brasil
Henry Dias,087.154.692-20,42,30/01/1982,"Esplanada Kevin Mendes
Vila Real 1ª Seção
12688-298 Marques / AL","('SP', 'São Paulo')",Brasil
Maria Clara Montenegro,732.815.064-53,27,10/07/1997,"Largo Lucca Novais, 64
Lourdes
94839-075 Andrade das Pedras / RS","('PR', 'Paraná')",Brasil
Sr. Gustavo Sousa,912.675.038-40,24,07/08/2000,"Ladeira das Neves, 83
Beija Flor
78802-569 Pereira / GO","('AC', 'Acre')",Brasil
Vitor Gabriel Gomes,532.746.091-61,36,21/06/1988,"Vila Jesus, 724
Paulo Vi
07481420 Brito / AC","('BA', 'Bahia')",Brasil
Srta. Alana Sampaio,842.560.793-00,40,11/10/1984,"Aeroporto Bruno Fonseca, 335
João Paulo Ii
50571-649 Silveira / AL","('CE', 'Ceará')",Brasil
Laura da Rosa,314.058.927-14,23,23/01/2001,"Travessa de Sampaio, 23
Santa Branca
14813260 Martins / PE","('SP', 'São Paulo')",Brasil
Kevin Machado,739.864.502-38,29,17/08/1995,"Sítio Ravi Melo, 33
Lagoinha Leblon
28771-399 da Conceição das Flores / AL","('TO', 'Tocantins')",Brasil
Zoe Mendes,563.874.219-00,24,12/08/2000,"Praça de Nascimento, 81
Carmo
61178348 Martins / PE","('MA', 'Maranhão')",Brasil
Sabrina Ferreira,578.129.034-60,36,06/02/1988,"Trevo Alana Cavalcante, 74
Marajó
22360815 Rocha / TO","('SC', 'Santa Catarina')",Brasil
Emanuella Peixoto,396.421.058-70,22,26/08/2002,"Colônia Sampaio, 86
Túnel De Ibirité
54136-694 Cassiano / SE","('MS', 'Mato Grosso do Sul')",Brasil
Carolina Sampaio,618.742.059-49,49,14/03/1975,"Sítio Otávio Viana, 9
São Pedro
92071-484 Borges da Praia / GO","('RR', 'Roraima')",Brasil
Matteo Pastor,820.546.739-00,30,19/01/1994,"Rua de Novaes
Alto Caiçaras
13195-420 Mendes dos Dourados / RR","('SE', 'Sergipe')",Brasil
Otto Carvalho,510.687.432-71,30,16/09/1994,"Praça Juliana da Conceição, 50
São Marcos
27306483 Rios de Monteiro / PI","('RJ', 'Rio de Janeiro')",Brasil
João Pinto,903.482.156-06,59,10/06/1965,"Praia de Montenegro, 61
Outro
76754720 Pacheco Alegre / AM","('PR', 'Paraná')",Brasil
Liz Alves,762.145.908-58,49,11/02/1975,"Área Milena Leão, 47
Vila Inestan
35198395 Aragão / PA","('RR', 'Roraima')",Brasil
Sophie Pinto,439.702.561-43,18,19/02/2006,"Rodovia de Porto, 94
Renascença
21239835 Viana do Campo / RO","('AM', 'Amazonas')",Brasil
Clarice Macedo,351.496.082-89,39,21/06/1985,"Setor Freitas, 13
Nossa Senhora Do Rosário
77981-913 Vasconcelos / PE","('BA', 'Bahia')",Brasil
Luiz Fernando Pires,196.205.837-95,60,27/02/1964,"Viaduto Lopes, 67
Vila Minaslandia
78659333 da Rocha de Fogaça / BA","('SP', 'São Paulo')",Brasil
Isabela das Neves,462.508.719-85,19,06/10/2005,"Praça João Guilherme Teixeira, 2
Eymard
96228-417 Souza de Minas / PB","('CE', 'Ceará')",Brasil
Dra. Evelyn Moraes,936.470.158-57,45,06/12/1978,"Praça Lucca Leão, 4
Eymard
14622184 Aragão das Flores / RN","('CE', 'Ceará')",Brasil
Gustavo da Cruz,106.248.735-44,54,07/01/1970,"Aeroporto da Mota, 8
Conjunto Serra Verde
16186849 Marques Paulista / SE","('PI', 'Piauí')",Brasil
Cecília Pires,405.671.923-34,18,13/02/2006,"Travessa de Leão, 8
Baleia
08461-244 Costa / SE","('SC', 'Santa Catarina')",Brasil
Evelyn Casa Grande,280.349.516-33,55,14/04/1969,"Colônia de Pereira, 58
São Luiz
75732-500 Siqueira / RS","('SE', 'Sergipe')",Brasil
Bárbara Cavalcante,968.241.370-22,41,26/09/1983,"Fazenda Daniel Ribeiro
Alto Das Antenas
74144-267 Cassiano / BA","('MT', 'Mato Grosso')",Brasil
Antonella Rocha,932.461.780-03,54,03/12/1969,"Estação Ana Vitória Borges, 51
Jardim Guanabara
57519637 Vargas Paulista / SP","('MT', 'Mato Grosso')",Brasil
Bernardo Casa Grande,497.031.582-50,24,09/03/2000,"Chácara de Martins, 68
Paraíso
12919-285 Nogueira do Campo / RN","('ES', 'Espírito Santo')",Brasil
Dra. Ana Beatriz Rezende,583.691.702-77,48,26/09/1976,"Favela Yasmin Cunha, 89
Céu Azul
42051-153 Gonçalves / AP","('ES', 'Espírito Santo')",Brasil
Antony Carvalho,615.903.482-06,44,17/06/1980,"Aeroporto de Dias, 9
São Benedito
97954-829 Mendonça / DF","('RS', 'Rio Grande do Sul')",Brasil
Vitor Hugo das Neves,679.082.534-74,58,04/08/1966,"Vila Barbosa
Vista Do Sol
13972-329 Freitas de Pimenta / RN","('ES', 'Espírito Santo')",Brasil
Luiz Gustavo da Rosa,538.170.962-59,35,05/05/1989,"Residencial de Silveira, 336
Xangri-Lá
54678-629 Silveira de Caldeira / RJ","('AL', 'Alagoas')",Brasil
Ana Sophia Silveira,560.389.724-47,37,26/06/1987,"Aeroporto Sampaio, 39
Jardim Vitoria
11565-572 Moraes / SE","('MT', 'Mato Grosso')",Brasil
Maria Cecília Cavalcanti,198.362.057-21,34,23/02/1990,"Núcleo de Peixoto, 14
Nossa Senhora Da Conceição
61222-055 Pastor / SE","('RR', 'Roraima')",Brasil
Alice Peixoto,098.721.456-01,26,28/08/1998,"Trecho de Porto, 2
Serrano
98910699 Albuquerque / ES","('MS', 'Mato Grosso do Sul')",Brasil
Larissa Pereira,217.459.086-76,40,17/07/1984,"Área de Azevedo, 1
Vila Madre Gertrudes 2ª Seção
11649602 Porto / ES","('MS', 'Mato Grosso do Sul')",Brasil
Maria Fernanda Rodrigues,248.697.053-38,36,06/02/1988,"Sítio João Gabriel da Conceição, 2
Mantiqueira
34649181 Nascimento do Norte / ES","('RO', 'Rondônia')",Brasil
Dr. Caio da Cruz,147.258.903-32,59,16/09/1965,"Parque Renan Gomes, 45
Dom Joaquim
02589005 Fonseca da Serra / PA","('DF', 'Distrito Federal')",Brasil
Dra. Ana Cecília da Cunha,045.231.976-52,21,30/03/2003,"Favela de Borges, 15
Ápia
77460-033 da Cunha da Serra / PA","('AP', 'Amapá')",Brasil
Esther Azevedo,906.348.527-10,19,22/06/2005,"Chácara da Conceição, 59
Lourdes
54939246 Ribeiro de Rodrigues / MS","('ES', 'Espírito Santo')",Brasil
Srta. Sarah da Paz,186.924.573-37,21,12/03/2003,"Recanto da Rocha, 606
Rio Branco
68743-499 Fogaça de Gonçalves / SE","('ES', 'Espírito Santo')",Brasil
Dr. Isaac Oliveira,046.198.723-69,33,10/12/1990,"Jardim Luiz Henrique Freitas, 2
Pindura Saia
33861644 Rezende / CE","('RS', 'Rio Grande do Sul')",Brasil
Gael Costela,182.759.430-60,45,03/09/1979,"Residencial Moura, 79
Planalto
31948-029 das Neves do Norte / AM","('TO', 'Tocantins')",Brasil
Luiz Otávio da Mota,591.780.624-11,47,16/06/1977,"Trecho das Neves
Cinquentenário
83605582 Borges / RO","('AC', 'Acre')",Brasil
Enzo Jesus,968.041.235-06,40,30/07/1984,"Estrada Sousa, 384
Pindura Saia
57563352 Marques das Pedras / RJ","('PR', 'Paraná')",Brasil
Ana Vitória Nascimento,983.650.421-42,40,25/07/1984,"Estação Ana Laura Viana, 79
Mala E Cuia
83028421 da Paz de Barbosa / AL","('PB', 'Paraíba')",Brasil
Sra. Agatha Souza,534.768.120-90,59,05/10/1965,"Morro Diego Machado
Granja De Freitas
38384554 Duarte / AC","('MS', 'Mato Grosso do Sul')",Brasil
Lunna Montenegro,918.506.723-77,51,22/12/1972,"Área de Nogueira, 84
Santa Helena
82070-403 Sá Paulista / MA","('RS', 'Rio Grande do Sul')",Brasil
Marcela Alves,901.487.362-03,29,25/11/1994,"Viaduto Camargo, 6
São Damião
44452-835 Castro de Casa Grande / GO","('MA', 'Maranhão')",Brasil
Pedro Miguel Araújo,263.109.847-13,52,06/07/1972,"Ladeira de Correia, 28
Sion
02076-644 Sales / RJ","('MG', 'Minas Gerais')",Brasil
Amanda Sales,956.012.847-76,50,19/03/1974,"Jardim Brenda Caldeira, 43
Antonio Ribeiro De Abreu 1ª Seção
97097-726 Araújo / AL","('TO', 'Tocantins')",Brasil
